,City,Population,Robbery,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
351,San Diego,"1,400,467","1,378","29,158","5,129","18,933","5,096",174
352,San Dimas,"34,955",29,679,117,499,63,4
353,San Fernando3,"24,823",32,509,126,263,120,0
354,San Francisco,"863,782","3,610","53,019","5,186","40,918","6,915",272
355,San Gabriel3,"40,714",40,635,130,419,86,6
356,Sanger,"24,933",21,638,133,433,72,4
357,San Jacinto,"47,022",51,"1,697",369,"1,086",242,4
358,San Jose,"1,031,458","1,140","25,035","4,896","13,138","7,001",93
359,San Juan Capistrano,"36,666",15,429,94,282,53,1
360,San Leandro,"90,438",220,"3,432",501,"2,028",903,11
361,San Luis Obispo,"47,116",13,"1,844",245,"1,501",98,44
362,San Marcos,"95,314",34,"1,516",277,996,243,2
363,San Marino3,"13,491",4,225,81,132,12,1
364,San Mateo,"104,306",62,"2,045",726,"1,114",205,8
365,San Pablo,"30,290",113,"1,265",395,456,414,6
366,San Rafael,"59,598",85,"1,887",267,"1,268",352,10
367,San Ramon,"76,081",13,895,146,654,95,9
368,Santa Ana3,"337,304",523,"7,270",909,"4,494","1,867",37
369,Santa Barbara3,"91,877",76,"2,717",374,"2,209",134,20
370,Santa Clara,"123,562",71,"3,579",583,"2,598",398,10
371,Santa Clarita,"211,132",124,"2,925",656,"1,971",298,21
372,Santa Cruz3,"64,076",116,"3,561",431,"2,831",299,25
373,Santa Fe Springs3,"17,867",42,"1,254",161,877,216,5
374,Santa Maria,"104,355",133,"2,975",595,"1,727",653,7
375,Santa Monica,"93,796",172,"3,834",660,"2,953",221,24
376,Santa Paula3,"30,710",16,406,101,255,50,4
377,Santa Rosa3,"175,738",131,"4,311",639,"3,223",449,41
378,Santee,"57,934",21,870,116,694,60,3
379,Saratoga,"31,239",2,336,155,170,11,6
380,Sausalito,"7,182",2,254,22,220,12,1
381,Scotts Valley3,"11,926",5,306,90,206,10,3
382,Seal Beach3,"24,800",5,594,80,478,36,0
383,Seaside,"34,459",27,544,92,381,71,5
384,Sebastopol3,"7,725",0,153,27,116,10,0
385,Selma,"24,532",34,"1,060",208,633,219,0
386,Shafter,"17,690",11,618,180,296,142,14
387,Sierra Madre,"11,226",3,117,48,59,10,2
388,Signal Hill,"11,655",31,784,102,592,90,2
389,Simi Valley3,"127,472",45,"1,513",255,"1,146",112,6
390,Solana Beach,"13,448",2,290,67,191,32,2
391,Soledad,"25,170",4,302,105,118,79,4
392,Solvang,"5,571",3,81,30,46,5,0
393,Sonoma3,"11,107",1,222,36,174,12,0
394,Sonora3,"4,779",10,365,80,267,18,4
395,South El Monte,"20,679",27,649,161,325,163,5
396,South Gate3,"96,775",199,"3,278",574,"1,653","1,051",10
397,South Lake Tahoe3,"21,558",19,548,105,404,39,0
398,South Pasadena3,"26,287",22,708,141,536,31,2
399,South San Francisco,"67,843",44,"1,421",314,916,191,13
400,Stallion Springs,"2,611",0,16,1,13,2,0
401,Stanton,"38,921",60,770,130,457,183,2
402,St. Helena,"6,028",0,92,19,70,3,0
403,Stockton,"304,890","1,144","12,998","2,891","8,119","1,988",103
404,Suisun City,"29,539",20,872,120,655,97,5
405,Sunnyvale,"152,443",61,"2,355",545,"1,514",296,9
406,Susanville3,"15,045",10,360,82,259,19,6
407,Sutter Creek3,"2,457",0,36,3,30,3,3
408,Taft,"8,819",7,333,79,235,19,0
409,Tehachapi,"12,971",5,338,109,195,34,0
410,Temecula,"111,673",47,"2,917",459,"2,116",342,3
411,Temple City,"36,524",24,474,154,280,40,1
412,Thousand Oaks,"129,976",23,"1,577",234,"1,241",102,9
413,Tiburon3,"9,288",1,78,14,61,3,1
414,Torrance3,"149,243",85,"2,881",540,"2,024",317,4
415,Tracy,"86,477",49,"2,417",272,"1,736",409,25
416,Truckee,"16,331",1,158,38,111,9,5
417,Tulare,"62,475",46,"2,002",398,"1,299",305,0
418,Tulelake3,983,0,12,3,6,3,0
419,Turlock3,"71,895",103,"2,745",602,"1,632",511,30
420,Tustin3,"81,953",38,"1,715",217,"1,344",154,5
421,Twentynine Palms,"26,105",13,412,139,241,32,7
422,Ukiah,"15,969",20,520,150,331,39,7
423,Union City,"74,648",87,"1,643",305,"1,024",314,6
424,Upland,"76,581",79,"2,384",570,"1,489",325,3
